Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,seed,reg season conf,conf tourn,totPoss,avgPoss,fgm/poss,fga/poss,3pt/poss,3pta/poss,ftm/poss,fta/poss,or/poss,dr/poss,ast/poss,to/poss,stl/poss,blk/poss,pf/poss
,Akron,33,24,9,0.727,0.81,-4.32,14,6,12,3,8,4,71.18181818,62.81818182,40.15151515,24.42424242,52.90909091,0.462,7.909090909,22.15151515,0.357,14.42424242,21,0.687,9.878787879,34.96969697,11.87878788,5.848484848,3.272727273,11.45454545,15.78787879,13,0,1,2754.92,83.48242424,0.292567479,0.633775209,0.094739593,0.265343458,0.172781787,0.251549954,0.118333745,0.418886937,0.142290883,0.137209066,0.070056481,0.03920259,0.189116199
,UAB,34,27,7,0.794,11.1,-0.71,14,4,16,2,7,4,80.67647059,66.29411765,40.44117647,29.67647059,63.41176471,1.462,7.970588235,21.02941176,1.357,13.35294118,18.08823529,1.687,12.20588235,38.44117647,12.97058824,9.647058824,4.264705882,11.47058824,16.61764706,12,0,0,3231.6,95.04705882,0.312229236,0.667161777,0.083859389,0.22125263,0.140487684,0.190308206,0.128419359,0.404443619,0.136464909,0.120683253,0.10149771,0.044869415,0.174835995
,Alabama,32,19,13,0.594,15.51,11.94,9,9,13,3,3,7,79.96875,76.40625,40.15625,27.65625,62.75,2.462,9.28125,30.09375,2.357,15.375,21.0625,2.687,13.53125,39.9375,14.625,7,4.71875,14.5625,18.59375,6,0,0,3203.56,100.11125,0.276255166,0.626802682,0.092709361,0.300603079,0.153579143,0.21039094,0.135162132,0.398931189,0.146087478,0.145463172,0.069922212,0.047135062,0.185730874
,Arizona,34,31,3,0.912,24,6.97,18,2,17,0,9,3,84.55882353,67.52941176,40.14705882,30.44117647,61.38235294,3.462,7.764705882,21.94117647,3.357,15.91176471,21.55882353,3.687,11.44117647,41.35294118,19.91176471,6.705882353,5.705882353,13.17647059,16.47058824,1,1,1,3246.52,95.48588235,0.318802903,0.642842182,0.081317842,0.229784508,0.166639971,0.22578022,0.119820608,0.433079112,0.208530981,0.137993913,0.070229045,0.059756293,0.172492392
,Arkansas,33,25,8,0.758,16.5,8.11,13,5,17,1,5,4,76.93939394,68.54545455,40.3030303,26.63636364,60.60606061,4.462,6.363636364,20.75757576,4.357,17.3030303,22.96969697,4.687,11.21212121,38.15151515,14.09090909,7.727272727,4.181818182,12.60606061,16.84848485,4,0,0,3119.52,94.53090909,0.281774119,0.641124276,0.067318049,0.219585064,0.183040981,0.2429861,0.118607991,0.403587731,0.149061394,0.133353849,0.081743345,0.044237575,0.178232549
,Auburn,32,27,5,0.844,20.39,8.71,15,3,16,0,8,3,78.71875,67.03125,40.625,27.9375,63.5625,5.462,8.125,25.375,5.357,14.71875,20.09375,5.687,12.46875,39.9375,14.59375,8.78125,7.9375,12.09375,18.53125,2,1,1,3102.92,96.96625,0.28811571,0.655511583,0.083792041,0.26168899,0.151792505,0.207224163,0.128588555,0.411870109,0.150503397,0.12472123,0.09055986,0.081858379,0.191110309
,Baylor,32,26,6,0.813,21.96,9.08,14,4,15,2,8,3,76.5,63.625,40.15625,28.21875,60.875,6.462,7.9375,22.96875,6.357,12.125,17.375,6.687,12.75,37.125,15.84375,8.8125,3.40625,12.5,15.84375,1,0,0,3000.64,93.77,0.3009358,0.649194838,0.084648608,0.244947744,0.129305748,0.185293804,0.135970993,0.395915538,0.168963954,0.133304895,0.093979951,0.036325584,0.168963954
,Boise State,34,27,7,0.794,12.61,5.37,15,3,13,3,9,3,68.70588235,60.76470588,40.44117647,24.47058824,54.58823529,7.462,7.382352941,21.20588235,7.357,12.38235294,19.08823529,7.687,10.17647059,34.97058824,11.52941176,5.911764706,3.5,12.11764706,15.05882353,8,1,1,2899.56,85.28117647,0.286940087,0.640097118,0.086564858,0.248658417,0.145194443,0.223827063,0.11932845,0.410062216,0.135192926,0.142090524,0.069320862,0.04104071,0.176578515
,Bryant,31,22,9,0.71,-4.41,-7.47,15,2,14,1,7,7,77.90322581,72.74193548,40.32258065,27.35483871,62.64516129,8.462,8.387096774,27.22580645,8.357,14.80645161,20.19354839,8.687,12.64516129,41.5483871,14.09677419,6.322580645,4.451612903,13.90322581,16.77419355,16,1,1,3040.44,98.07870968,0.278907,0.638723343,0.085513939,0.277591401,0.150964992,0.205891253,0.128928708,0.423622897,0.143729197,0.141755799,0.064464354,0.045388168,0.171027878
,Cal State Fullerton,31,21,10,0.677,0.31,-2.59,12,5,11,2,7,7,70.25806452,66.16129032,40,24.77419355,55.38709677,9.462,5.516129032,16.70967742,9.357,15.19354839,19.90322581,9.687,9.677419355,33.5483871,11.29032258,7.258064516,2,12.25806452,16,15,0,1,2668.48,86.08,0.287804293,0.643437463,0.064081425,0.194118,0.176504977,0.231217772,0.112423552,0.38973498,0.131160811,0.142403166,0.084317664,0.023234201,0.185873606
,Chattanooga,34,27,7,0.794,5.93,-1.38,14,4,12,3,12,4,74.79411765,64.67647059,40.29411765,27.5,58.64705882,10.462,8,23.08823529,10.357,11.79411765,15.67647059,10.687,10.64705882,35.91176471,13.02941176,7.176470588,2.205882353,11,15.47058824,13,1,1,2964.52,87.19176471,0.315396759,0.672621537,0.091751784,0.264798348,0.135266417,0.179793019,0.122110831,0.411871062,0.149433972,0.126158704,0.082306748,0.025299205,0.17743176
,Colgate,34,23,11,0.676,0.83,-6.96,16,2,15,1,8,10,76.05882353,67.11764706,40.14705882,27.70588235,58.14705882,11.462,9.911764706,24.58823529,11.357,10.73529412,15.44117647,11.687,8.764705882,36.17647059,17.17647059,6.235294118,3.676470588,11.32352941,14.52941176,14,1,1,2891,85.02941176,0.32583881,0.68384642,0.116568661,0.289173296,0.126253891,0.181598063,0.10307852,0.425458319,0.202006226,0.133171913,0.073331027,0.043237634,0.17087513
,Colorado State,30,25,5,0.833,12.24,4.86,14,4,14,1,6,3,73.73333333,65.73333333,40.33333333,26.6,54.83333333,12.462,7.633333333,21.33333333,12.357,12.9,16.66666667,12.687,6.633333333,31.9,14.2,6.266666667,3.166666667,10.06666667,14.9,6,0,0,2366,78.86666667,0.337278107,0.695266272,0.096787828,0.270498732,0.163567202,0.211327134,0.084108199,0.404480135,0.180050719,0.127641589,0.079459003,0.040152156,0.188926458
,Connecticut,32,23,9,0.719,17.23,7.2,13,6,14,2,5,5,75.1875,65.15625,40.78125,26.8125,61.5625,13.462,7.4375,21.0625,13.357,14.125,18.84375,13.687,13.96875,40.875,14,5.96875,6.5,11.875,16.78125,4,0,0,3062.32,95.6975,0.280179733,0.643303117,0.077718854,0.220094569,0.147600512,0.196909533,0.145967763,0.427127145,0.146294313,0.124088926,0.062371013,0.06792236,0.175357245
,Creighton,33,22,11,0.667,11.42,8.33,12,7,11,4,6,5,69.03030303,65.93939394,40.3030303,25.75757576,57.18181818,14.462,6.696969697,21.84848485,14.357,10.81818182,14.84848485,14.687,9.636363636,38.27272727,13.15151515,5.363636364,4.424242424,14.06060606,13.42424242,9,0,0,2884.6,87.41212121,0.294668238,0.654163489,0.076613742,0.249948,0.12376066,0.169867573,0.110240588,0.437842335,0.150454136,0.160854191,0.061360327,0.050613603,0.153574152
,Davidson,33,27,6,0.818,10.53,1.72,15,3,13,1,9,3,75.57575758,65.75757576,40.15151515,26.66666667,55.39393939,15.462,8.818181818,22.81818182,15.357,13.42424242,17.72727273,15.687,7.363636364,34.21212121,14.66666667,4.666666667,2.575757576,9.848484848,14.72727273,10,1,0,2653.4,80.40606061,0.331649959,0.688927414,0.109670611,0.28378684,0.166955604,0.220471847,0.091580614,0.425491822,0.182407477,0.12248436,0.058038743,0.032034371,0.183161227
,Delaware,34,22,12,0.647,0.11,-2.71,10,8,9,5,8,5,73.76470588,69.88235294,40.29411765,26.08823529,55.58823529,16.462,7.588235294,21.52941176,16.357,14,18.85294118,16.687,8.558823529,32.76470588,12.67647059,6.617647059,3.735294118,12.64705882,15.64705882,15,0,1,2893.04,85.08941176,0.306597904,0.653292039,0.089179548,0.253021044,0.16453281,0.221566242,0.100586235,0.38506208,0.148978237,0.14863258,0.077772862,0.04389846,0.183889611
,Duke,34,28,6,0.824,19.15,6.12,16,4,15,3,9,2,80.17647059,67.14705882,40.14705882,29.67647059,60.70588235,17.462,8.176470588,22.20588235,17.357,12.64705882,17.35294118,17.687,10.67647059,38.32352941,16.91176471,6.470588235,5.529411765,10.23529412,13.64705882,2,1,0,3034.6,89.25294118,0.332498517,0.680155539,0.091610097,0.248797206,0.141699071,0.194424306,0.119620378,0.429381138,0.189481315,0.114677387,0.072497199,0.061952152,0.152903183
,Georgia State,28,18,10,0.643,-1.23,-2.31,9,5,8,4,6,5,70.60714286,64.75,40.53571429,24.96428571,62,18.462,7.678571429,23.35714286,18.357,13,18.14285714,18.687,13.28571429,37.25,13.53571429,8.928571429,4.464285714,11.85714286,15.75,16,0,1,2663.52,95.12571429,0.262434673,0.651769088,0.08072025,0.245539737,0.13666126,0.190725056,0.139664804,0.391587073,0.142292906,0.124647084,0.093860756,0.046930378,0.165570373
,Gonzaga,29,26,3,0.897,26.73,4.24,13,1,16,0,5,1,87.82758621,65.34482759,40,32.93103448,62.44827586,19.462,8.379310345,22.13793103,19.357,13.5862069,18.62068966,19.687,9.379310345,41.51724138,18.20689655,6.655172414,5.862068966,11.75862069,15.4137931,16,1,1,2661.6,91.77931034,0.358806733,0.680417794,0.091298467,0.241208296,0.148031259,0.202885482,0.102194169,0.452359483,0.198376916,0.128118425,0.072512774,0.063871356,0.167944094
,Houston,34,29,5,0.853,22.3,5.36,15,3,16,1,7,3,75.82352941,58.88235294,40.44117647,28.14705882,60.02941176,20.462,8,23.47058824,20.357,11.52941176,17.23529412,20.687,13.35294118,39.23529412,16.73529412,8.235294118,5.205882353,11.32352941,17.38235294,5,1,1,3137.84,92.28941176,0.30498687,0.650447442,0.086683833,0.25431507,0.124926701,0.186752671,0.144685516,0.425133213,0.181334931,0.122695867,0.089233358,0.05640823,0.188346123
,Illinois,31,22,9,0.71,17.77,9.64,15,5,13,3,7,4,75.77419355,67.64516129,40.32258065,26.67741935,58.90322581,21.462,9.225806452,25.12903226,21.357,13.19354839,18.64516129,21.687,11.58064516,38.61290323,15.38709677,5.161290323,3,12.16129032,16.35483871,4,0,0,2816.32,90.84903226,0.293645608,0.648363822,0.10155096,0.276602091,0.145224974,0.20523236,0.12747131,0.425022725,0.169369958,0.133862629,0.056811726,0.033021816,0.180022157
,Indiana,34,21,13,0.618,13.9,8.28,9,11,14,4,3,8,71.32352941,65.70588235,40.44117647,26.02941176,56.91176471,22.462,6,17.91176471,22.357,13.26470588,19.05882353,22.687,9.176470588,36.35294118,14.79411765,5.647058824,4.911764706,11.79411765,17.38235294,12,0,0,2933.12,86.26823529,0.301726489,0.65970707,0.069550513,0.207628737,0.153761183,0.220925158,0.106371372,0.421394283,0.171489745,0.136714488,0.065459306,0.056935959,0.201491927
,Iowa State,32,20,12,0.625,12.43,8.96,7,11,14,5,4,6,66.46875,63,40.3125,24.5,55.84375,23.462,6.71875,20.90625,23.357,10.75,15.71875,23.687,9.4375,32,14.71875,8.40625,3.0625,13.8125,18.03125,11,0,0,2752.32,86.01,0.284850599,0.649270434,0.078115917,0.243067667,0.124985467,0.182754912,0.109725613,0.372049762,0.171128357,0.160591792,0.097735728,0.035606325,0.209641321
,Iowa,35,26,9,0.743,19.82,7.33,12,8,15,3,6,6,83.77142857,71.28571429,40.28571429,29.91428571,64.45714286,24.462,9.285714286,25.22857143,24.357,14.65714286,19.57142857,24.687,11.82857143,37.25714286,16.08571429,7.4,4.371428571,9.171428571,16.14285714,5,0,1,3292.4,94.06857143,0.318005103,0.685214433,0.098712186,0.268193415,0.155813388,0.208054914,0.125744138,0.396063662,0.170999879,0.097497266,0.078666019,0.04647066,0.171607338
,Jacksonville State,31,21,10,0.677,0.02,-4.36,13,3,11,4,9,5,73.93548387,66.80645161,40.16129032,26.41935484,55.96774194,25.462,9.322580645,24,25.357,11.77419355,17.29032258,25.687,9.580645161,36.93548387,14.48387097,6.193548387,2.935483871,13.25806452,14.12903226,15,1,0,2678.84,86.41419355,0.305729346,0.647668394,0.107882516,0.277732153,0.136253005,0.200086605,0.110868884,0.42742381,0.167609861,0.153424617,0.071672814,0.033969927,0.163503606
,Kansas,34,28,6,0.824,21.85,11.41,14,4,16,1,6,4,78.58823529,68.14705882,40.44117647,28.64705882,59.55882353,26.462,7.147058824,20.11764706,26.357,14.14705882,19.52941176,26.687,11.05882353,37.35294118,15.44117647,6.411764706,4.147058824,12.5,15.88235294,1,1,1,3118.16,91.71058824,0.312363702,0.649421454,0.077930574,0.219360135,0.154257639,0.212946096,0.120583934,0.40729148,0.168368525,0.13629833,0.069913026,0.045218975,0.173179054
,Kentucky,33,26,7,0.788,21.86,8.4,14,4,18,0,6,5,79.45454545,66,40.15151515,30.42424242,62.78787879,27.462,6.151515152,17.60606061,27.357,12.45454545,17.06060606,27.687,12.93939394,40.27272727,16.09090909,6.818181818,4.181818182,11.54545455,14.24242424,2,0,0,3127.72,94.77939394,0.321000601,0.662463392,0.064903508,0.185758316,0.131405625,0.180003325,0.136521172,0.424910158,0.16977223,0.121813973,0.071937386,0.044121597,0.150269206
,Longwood,32,26,6,0.813,0.13,-6.98,15,1,16,1,7,5,76.34375,65.0625,40.3125,26.65625,58.75,28.462,8.1875,21.5625,28.357,14.84375,20.5,28.687,12.03125,37.28125,14.03125,7.75,2.4375,11.96875,15.4375,14,1,1,2936.64,91.77,0.290468018,0.640187425,0.089217609,0.234962406,0.161749482,0.223384548,0.131102212,0.406246595,0.152895827,0.130421162,0.084450256,0.026560968,0.168219462
,Louisiana State,33,22,11,0.667,18.05,8.48,9,9,15,2,3,8,73.12121212,63.54545455,40.3030303,26.12121212,59.36363636,29.462,6.545454545,20.54545455,29.357,14.33333333,19.57575758,29.687,12.09090909,36.93939394,12.72727273,11.09090909,4.363636364,14.54545455,19.33333333,6,0,0,3122.24,94.61333333,0.276083837,0.62743415,0.069181101,0.217151788,0.151493799,0.206902736,0.127792867,0.390424823,0.134518807,0.153735779,0.117223532,0.046120734,0.204340474
,Loyola (IL),32,25,7,0.781,14.17,2.94,13,5,12,2,8,3,73.8125,61.71875,40.625,26.25,54.34375,30.462,8.90625,23.28125,30.357,12.40625,17.25,30.687,7.6875,34,15,6.875,2.4375,12.1875,17.15625,10,0,1,2617.88,81.80875,0.320870323,0.664277965,0.108866717,0.284581417,0.151649426,0.210857641,0.093969166,0.415603465,0.18335447,0.148975507,0.084037465,0.029795101,0.209711675
,Marquette,31,19,12,0.613,12.54,9.02,11,8,13,3,4,7,74.38709677,70.87096774,40.32258065,26.93548387,59.41935484,31.462,8.612903226,24.80645161,31.357,11.90322581,15.93548387,31.687,7.677419355,34.70967742,16,7.870967742,5.096774194,12.4516129,17.4516129,9,0,0,2683.36,86.56,0.311177032,0.686452805,0.099502117,0.286581003,0.137514161,0.184097549,0.088694771,0.400989804,0.184842884,0.143849502,0.090930773,0.058881402,0.201612903
,Memphis,31,21,10,0.677,14.4,7.37,13,5,13,2,5,6,75.41935484,68.38709677,40,26.93548387,57.22580645,32.462,6.322580645,17.61290323,32.357,15.22580645,22,32.687,12.48387097,38.74193548,16.06451613,8.709677419,5.677419355,16.35483871,18.70967742,9,0,0,2968.08,95.74451613,0.281326649,0.597692785,0.066035956,0.183957306,0.159025363,0.229778173,0.130387321,0.404638689,0.167785235,0.170817498,0.090967898,0.059297593,0.195412523
,Miami (FL),33,23,10,0.697,10.1,6.31,14,6,10,5,10,2,74.81818182,71.03030303,40.15151515,27.57575758,57.66666667,33.462,7.303030303,20.6969697,33.357,12.36363636,16.63636364,33.687,7.515151515,30.45454545,14.03030303,8.727272727,2.939393939,9.606060606,14.93939394,10,0,0,2709.56,82.10787879,0.335847887,0.702328053,0.08894433,0.252070447,0.150577954,0.202615923,0.091527776,0.37090893,0.170876452,0.116993165,0.10629032,0.03579917,0.181948361
,Michigan State,34,22,12,0.647,13.77,10.12,11,9,12,3,5,6,72.08823529,68.44117647,40,26,56.91176471,34.462,7.176470588,19,34.357,12.91176471,17.29411765,34.687,10.02941176,37.14705882,15.79411765,5.823529412,5.058823529,13.08823529,16.94117647,7,0,0,2979.72,87.63882353,0.296672171,0.649389876,0.081886889,0.216798894,0.147329279,0.197333978,0.114440283,0.42386533,0.180218276,0.149342891,0.066449197,0.057723544,0.193306754
,Michigan,31,17,14,0.548,14.08,10.92,11,9,10,5,5,7,73.03225806,69.87096774,40,27.09677419,57.87096774,35.462,6.35483871,18.70967742,35.357,12.48387097,16.74193548,35.687,10,35.5483871,14.19354839,4.774193548,3.096774194,11.5483871,15.5483871,11,0,0,2690.36,86.78580645,0.312225873,0.666825258,0.073224401,0.215584531,0.14384692,0.192910986,0.115226215,0.40961061,0.163546886,0.133067694,0.055011225,0.035682957,0.17915818
,Montana State,34,27,7,0.794,0.49,-6.04,16,4,13,1,9,6,76.97058824,68.47058824,40.44117647,26.52941176,55.79411765,36.462,7.647058824,20.73529412,36.357,16.26470588,21.58823529,36.687,8.676470588,35.47058824,13.17647059,5.235294118,3.735294118,12.76470588,18.14705882,14,1,1,2948.96,86.73411765,0.305870544,0.64327763,0.088166676,0.239067332,0.187523737,0.248901308,0.100035267,0.408957734,0.151917964,0.147170528,0.060360263,0.04306603,0.209226304
,Murray State,32,30,2,0.938,10.39,-3.61,18,0,15,0,11,1,79.3125,62.28125,40,29.03125,60.625,37.462,8.0625,22.8125,37.357,13.1875,19,37.687,12.5,39.1875,14.71875,7.90625,3.125,11.40625,14.96875,7,1,1,2972.52,92.89125,0.312529436,0.652644894,0.086795043,0.245582872,0.141967085,0.204540255,0.134565958,0.421864277,0.158451415,0.122791436,0.085112968,0.033641489,0.161142734
,New Mexico State,32,26,6,0.813,6.75,0.54,13,4,13,2,9,3,73.3125,65.03125,40.15625,25.875,56.5625,38.462,7.84375,24.03125,38.357,13.71875,19.65625,38.687,11.125,38.46875,13.90625,5.0625,4.15625,14,15.875,12,0,1,2890.76,90.33625,0.286429866,0.62613292,0.086828377,0.266020009,0.151863178,0.217589838,0.123151005,0.425839572,0.153938757,0.154976546,0.056040626,0.046008662,0.175732333
,Norfolk State,30,24,6,0.8,-3.37,-10.3,12,2,11,0,7,6,75.1,63.73333333,40,26.53333333,56.96666667,39.462,7.033333333,20.23333333,39.357,15,21.5,39.687,10.13333333,38.76666667,12.63333333,6.7,3.666666667,14,17.66666667,16,1,1,2716.8,90.56,0.292991755,0.629048881,0.0776649,0.223424617,0.165636042,0.237411661,0.111896349,0.42807715,0.139502356,0.15459364,0.073984099,0.04048881,0.19508245
