ID,Pred
2022_1103_1104,0.417153369
2022_1103_1112,0.127502747
2022_1103_1116,0.251569291
2022_1103_1120,0.255487891
2022_1103_1124,0.258334039
2022_1103_1129,0.388134757
2022_1103_1136,0.648970746
2022_1103_1151,0.391796283
2022_1103_1159,0.55444277
2022_1103_1161,0.398178727
2022_1103_1163,0.426249064
2022_1103_1166,0.370256561
2022_1103_1168,0.661310084
2022_1103_1172,0.332756276
2022_1103_1174,0.613314195
2022_1103_1181,0.13449134
2022_1103_1209,0.734077009
2022_1103_1211,0.329748011
2022_1103_1222,0.273272946
2022_1103_1228,0.274973884
2022_1103_1231,0.358809108
2022_1103_1234,0.198105495
2022_1103_1235,0.457940397
2022_1103_1240,0.643990338
2022_1103_1242,0.164215843
2022_1103_1246,0.17037133
2022_1103_1255,0.470350532
2022_1103_1260,0.414698135
2022_1103_1261,0.315913543
2022_1103_1266,0.421412868
2022_1103_1272,0.526526033
2022_1103_1274,0.481836211
2022_1103_1276,0.388177585
2022_1103_1277,0.358039047
2022_1103_1286,0.466560209
2022_1103_1293,0.239339898
2022_1103_1308,0.424081959
2022_1103_1313,0.560467415
2022_1103_1314,0.302404197
2022_1103_1323,0.322725156
2022_1103_1326,0.361988293
2022_1103_1344,0.306450752
2022_1103_1345,0.196321987
2022_1103_1350,0.550239193
2022_1103_1353,0.544644014
2022_1103_1355,0.229433913
2022_1103_1361,0.444086382
2022_1103_1362,0.483117721
2022_1103_1371,0.347003998
2022_1103_1388,0.416351628
2022_1103_1389,0.729063649
2022_1103_1394,0.609455361
2022_1103_1395,0.508925434
2022_1103_1397,0.258054443
2022_1103_1400,0.309547567
2022_1103_1403,0.292271482
2022_1103_1411,0.714538616
2022_1103_1412,0.376354052
2022_1103_1417,0.228006835
2022_1103_1425,0.287338477
2022_1103_1436,0.285378073
2022_1103_1437,0.235937327
2022_1103_1439,0.374221598
2022_1103_1458,0.261659043
2022_1103_1460,0.632540759
2022_1103_1461,0.460526568
2022_1103_1463,0.71480497
2022_1104_1112,0.081003414
2022_1104_1116,0.254448865
2022_1104_1120,0.241964409
2022_1104_1124,0.24751257
2022_1104_1129,0.53367391
2022_1104_1136,0.693252095
2022_1104_1151,0.475623035
2022_1104_1159,0.505483557
2022_1104_1161,0.356323741
2022_1104_1163,0.35430815
2022_1104_1166,0.466157052
2022_1104_1168,0.657794698
2022_1104_1172,0.463690732
2022_1104_1174,0.624672583
2022_1104_1181,0.111595444
2022_1104_1209,0.721731309
2022_1104_1211,0.21635594
2022_1104_1222,0.318557418
2022_1104_1228,0.325316757
2022_1104_1231,0.426802846
2022_1104_1234,0.188076998
2022_1104_1235,0.4641091
2022_1104_1240,0.61474714
2022_1104_1242,0.155774378
2022_1104_1246,0.168911677
2022_1104_1255,0.558705903
2022_1104_1260,0.517345377
2022_1104_1261,0.392893222
2022_1104_1266,0.514755289
2022_1104_1272,0.506492244
2022_1104_1274,0.534292856
2022_1104_1276,0.537083689
2022_1104_1277,0.348905433
2022_1104_1286,0.516626096
2022_1104_1293,0.306540622
2022_1104_1308,0.490692837
2022_1104_1313,0.592020928
2022_1104_1314,0.327601184
2022_1104_1323,0.396400378
2022_1104_1326,0.40989119
2022_1104_1344,0.288976389
2022_1104_1345,0.16171304
2022_1104_1350,0.544441749
2022_1104_1353,0.582502697
2022_1104_1355,0.347892294
2022_1104_1361,0.551591762
2022_1104_1362,0.562716908
2022_1104_1371,0.503714692
2022_1104_1388,0.370770157
2022_1104_1389,0.707628105
2022_1104_1394,0.637869628
2022_1104_1395,0.557614213
2022_1104_1397,0.246841656
2022_1104_1400,0.361991695
2022_1104_1403,0.248626673
2022_1104_1411,0.707944024
2022_1104_1412,0.411390428
2022_1104_1417,0.196762184
2022_1104_1425,0.334505078
2022_1104_1436,0.434016159
2022_1104_1437,0.198222683
2022_1104_1439,0.416371204
2022_1104_1458,0.27833228
2022_1104_1460,0.630111233
2022_1104_1461,0.614107648
2022_1104_1463,0.692449645
2022_1112_1116,0.793024272
2022_1112_1120,0.700899089
2022_1112_1124,0.744836514
2022_1112_1129,0.848757677
2022_1112_1136,0.937445198
2022_1112_1151,0.837219204
2022_1112_1159,0.867916647
2022_1112_1161,0.780604087
2022_1112_1163,0.871747546
2022_1112_1166,0.836699368
2022_1112_1168,0.92573764
2022_1112_1172,0.779400821
2022_1112_1174,0.916263679
2022_1112_1181,0.604067325
2022_1112_1209,0.958000734
2022_1112_1211,0.760252599
2022_1112_1222,0.777982035
2022_1112_1228,0.832337329
2022_1112_1231,0.837462846
2022_1112_1234,0.7076551
2022_1112_1235,0.881717825
2022_1112_1240,0.911480769
2022_1112_1242,0.658453861
2022_1112_1246,0.688582362
2022_1112_1255,0.879352928
2022_1112_1260,0.818667285
2022_1112_1261,0.854166608
2022_1112_1266,0.876741212
2022_1112_1272,0.916932462
2022_1112_1274,0.831931259
2022_1112_1276,0.877201199
2022_1112_1277,0.831439323
2022_1112_1286,0.860470309
2022_1112_1293,0.72647812
2022_1112_1308,0.847002792
2022_1112_1313,0.873718213
2022_1112_1314,0.781718832
2022_1112_1323,0.79927636
2022_1112_1326,0.855426728
2022_1112_1344,0.80361506
2022_1112_1345,0.670077548
2022_1112_1350,0.863364234
2022_1112_1353,0.894546176
2022_1112_1355,0.759977365
2022_1112_1361,0.855177141
2022_1112_1362,0.865305814
2022_1112_1371,0.859110515
2022_1112_1388,0.827086777
2022_1112_1389,0.959197587
2022_1112_1394,0.922523758
2022_1112_1395,0.897387116
2022_1112_1397,0.786194038
2022_1112_1400,0.834446591
2022_1112_1403,0.781280799
2022_1112_1411,0.955820594
2022_1112_1412,0.819907962
2022_1112_1417,0.752426947
2022_1112_1425,0.757680514
2022_1112_1436,0.792741418
2022_1112_1437,0.737108921
2022_1112_1439,0.781119157
2022_1112_1458,0.78642607
2022_1112_1460,0.915337998
2022_1112_1461,0.837415968
2022_1112_1463,0.938297756
2022_1116_1120,0.422981316
2022_1116_1124,0.425832313
2022_1116_1129,0.630895213
2022_1116_1136,0.812818864
2022_1116_1151,0.589945982
2022_1116_1159,0.728944601
2022_1116_1161,0.674757657
2022_1116_1163,0.660618313
2022_1116_1166,0.650338273
2022_1116_1168,0.815888573
2022_1116_1172,0.612545302
2022_1116_1174,0.774294745
2022_1116_1181,0.292429418
2022_1116_1209,0.857806148
2022_1116_1211,0.483794621
2022_1116_1222,0.524897297
2022_1116_1228,0.613730987
2022_1116_1231,0.613838032
2022_1116_1234,0.461452459
2022_1116_1235,0.718343481
2022_1116_1240,0.798635933
2022_1116_1242,0.329995415
2022_1116_1246,0.361887999
