,wins_home,losses,srs,ft,stl,win_loss_pct,pf,wins_visitor,mp,fga,fta,fg3_pct,fg,trb,losses_conf,sos,school_name,fg3,pts,orb,fg_pct,ast,wins_conf,losses_visitor,wins,ft_pct,fg3a,blk,opp_pts,tov,g,losses_home
0,7,21,-2.99,393,155,.323,542,1,1240,1389,583,.377,611,879,16,2.37,Air Force,206,1821,229,.440,378,0,9,10,.674,546,70,1936,407,31,10
1,11,13,3.37,499,270,.639,745,8,1455,1969,705,.332,823,1199,6,-2.01,Akron,258,2403,424,.418,446,10,8,23,.708,776,80,2171,490,36,3
2,13,14,5.49,502,235,.563,546,2,1295,1913,711,.328,845,1264,9,3.99,Alabama,157,2349,441,.442,357,7,7,18,.706,479,144,2254,464,32,5
3,6,19,-19.72,424,224,.296,549,2,,1566,638,.267,608,948,12,-11.63,Alabama A&M,121,1761,340,.388,298,6,11,8,.665,454,90,1954,448,27,7
4,10,10,-6.13,389,182,.688,558,8,,1752,614,.329,816,1130,2,-11.20,Alabama State,181,2202,358,.466,445,16,7,22,.634,550,153,2025,435,32,1
5,10,16,-6.63,424,160,.484,626,5,1245,1713,590,.294,715,1206,10,-4.11,Albany (NY),130,1984,425,.417,367,6,12,15,.719,442,63,2038,474,31,4
6,5,25,-25.55,485,257,.194,609,1,,1901,709,.327,742,992,14,-10.26,Alcorn State,187,2156,318,.390,309,4,15,6,.684,571,55,2588,455,31,7
7,13,8,-0.05,333,176,.750,581,11,1290,1614,514,.374,751,1046,1,-5.49,American,230,2065,302,.465,421,13,6,24,.648,615,79,1891,422,32,1
8,7,18,-8.44,519,187,.419,626,5,1270,1768,733,.372,799,1220,11,-5.44,Appalachian State,239,2356,404,.452,407,9,9,13,.708,642,106,2381,542,31,7
9,14,14,11.88,523,217,.600,548,2,1405,1892,709,.387,897,1183,9,8.80,Arizona,212,2529,387,.474,500,9,9,21,.738,548,104,2421,442,35,3
10,12,10,16.70,490,201,.714,557,6,1420,1718,665,.370,825,1085,7,7.82,Arizona State,288,2428,288,.480,544,11,4,25,.737,778,72,2117,401,35,3
11,12,16,3.79,442,227,.467,521,1,1215,1821,679,.332,797,1129,14,3.89,Arkansas,202,2238,381,.438,390,2,9,14,.651,608,86,2213,419,30,6
12,9,17,-5.42,390,201,.433,501,4,1225,1685,571,.326,731,1094,13,-4.31,Arkansas State,144,1996,347,.434,402,5,12,13,.683,442,109,1948,408,30,5
13,6,18,-15.45,401,271,.419,705,6,,1768,649,.288,709,1179,7,-7.48,Arkansas-Pine Bluff,124,1943,446,.401,339,11,14,13,.618,431,84,2190,605,31,3
14,7,19,-10.11,309,224,.367,579,4,,1533,448,.337,644,876,8,-7.59,Army,144,1741,237,.420,396,6,12,11,.690,427,75,1823,459,30,7
15,18,12,9.93,486,327,.667,674,5,1445,2116,802,.334,928,1323,6,3.56,Auburn,278,2620,422,.439,507,10,5,24,.606,832,123,2354,470,36,4
16,9,14,-4.20,490,224,.576,610,9,1340,1877,712,.365,885,1121,5,-3.69,Austin Peay,225,2485,359,.471,486,13,7,19,.688,616,105,2449,446,33,5
17,10,17,-5.50,369,158,.452,572,3,1255,1572,604,.339,646,1071,9,-3.02,Ball State,134,1795,333,.411,333,7,10,14,.611,395,63,1852,406,31,6
18,14,15,12.54,597,282,.615,717,4,,2191,838,.365,1024,1332,11,7.93,Baylor,320,2965,411,.467,484,5,7,24,.712,876,146,2732,501,39,5
19,12,13,0.39,454,261,.606,638,8,,1961,664,.354,869,1186,6,-1.37,Belmont,336,2528,390,.443,549,14,9,20,.684,950,84,2334,479,33,3
20,8,16,-12.41,420,222,.515,643,7,,1725,665,.278,685,1163,7,-9.76,Bethune-Cookman,136,1926,418,.397,307,9,10,17,.632,489,92,1941,474,33,4
21,12,9,-3.27,491,227,.719,652,9,1295,1764,733,.334,778,1101,3,-5.62,Binghamton,192,2239,357,.441,383,13,6,23,.670,575,134,2156,431,32,2
22,13,13,-0.95,379,200,.594,576,6,1290,1849,544,.342,875,1097,7,0.54,Boise State,200,2329,314,.473,510,9,9,19,.697,584,117,2315,476,32,3
23,15,12,10.36,541,208,.647,614,5,1370,2000,733,.334,885,1259,7,7.23,Boston College,217,2528,485,.443,503,9,5,22,.738,649,147,2397,457,34,4
24,9,13,-2.61,395,202,.567,513,8,,1646,578,.361,698,1039,5,-4.91,Boston University,267,2058,345,.424,380,11,6,17,.683,740,97,1989,408,30,6
25,10,14,0.09,370,221,.576,569,6,,1796,548,.353,775,1186,5,-1.75,Bowling Green State,206,2126,380,.432,415,11,9,19,.675,583,120,2020,427,33,4
26,14,15,2.48,587,282,.583,648,5,,1833,816,.328,806,1160,8,1.95,Bradley,216,2415,388,.440,453,10,9,21,.719,658,125,2387,521,36,4
27,14,8,15.12,488,241,.758,607,9,1325,1879,669,.381,909,1196,4,4.15,Brigham Young,238,2544,302,.484,537,12,3,25,.729,624,119,2150,375,33,2
28,8,19,-12.39,351,129,.321,425,1,1125,1406,533,.317,599,914,11,-5.02,Brown,163,1712,235,.426,373,3,14,9,.659,514,84,1898,403,28,5
29,3,21,,301,172,.276,514,3,,1479,455,.329,581,847,,,Bryant,207,1670,266,.393,351,,13,8,.662,629,71,1969,389,29,7
30,6,23,-11.59,358,145,.233,601,1,1240,1767,528,.343,679,1124,10,-4.12,Bucknell,212,1928,321,.384,338,4,15,7,.678,618,75,2152,425,30,8
31,9,12,1.44,425,215,.636,608,7,,1864,659,.344,778,1215,5,-0.90,Buffalo,174,2155,457,.417,406,11,7,21,.645,506,91,2078,466,33,4
32,15,6,10.07,501,193,.813,568,11,1280,1609,692,.352,705,1094,3,2.07,Butler,257,2168,328,.438,417,15,3,26,.724,731,102,1854,400,32,2
33,3,21,-8.32,343,165,.250,429,3,1125,1591,487,.338,645,929,13,-1.32,Cal Poly,189,1822,295,.405,300,3,8,7,.704,560,80,1964,327,28,12
34,4,21,,398,158,.276,532,2,,1644,587,.318,646,950,,,Cal State Bakersfield,185,1875,372,.393,307,,14,8,.678,582,66,2094,382,29,6
35,7,17,-4.20,438,212,.469,592,7,,1890,614,.344,824,1074,9,-1.26,Cal State Fullerton,259,2345,372,.436,421,7,7,15,.713,753,115,2356,422,32,6
36,10,14,2.65,425,276,.548,683,5,1250,1808,611,.353,821,1150,5,-0.14,Cal State Northridge,215,2282,403,.454,430,11,11,17,.696,609,83,2178,549,31,2
37,16,11,13.30,478,159,.667,560,6,1340,1848,633,.427,892,1113,7,7.21,California,210,2472,333,.483,509,11,6,22,.755,492,66,2271,399,33,2
38,10,16,-7.97,498,250,.467,624,4,,1722,701,.355,744,1104,9,-3.42,Campbell,178,2164,377,.432,472,11,10,14,.710,502,76,2153,497,30,4
39,5,20,-6.46,365,160,.355,638,5,1255,1747,593,.287,714,1170,14,-1.68,Canisius,156,1949,390,.409,375,4,12,11,.616,544,141,2097,509,31,8
40,4,23,-8.46,373,276,.258,680,2,,1722,549,.345,694,924,12,-1.56,Centenary (LA),232,1993,,.403,372,6,15,8,.679,673,82,2207,425,31,5
41,4,19,,427,161,.345,535,1,,1567,646,.326,627,1007,13,,Central Arkansas,160,1841,333,.400,319,3,10,10,.661,491,93,2008,395,29,8
42,8,17,-10.35,380,184,.433,440,5,1205,1606,528,.316,719,970,10,-6.76,Central Connecticut State,125,1943,332,.448,390,8,12,13,.720,396,82,2043,429,30,5
