Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Gonzaga,WCC,,1,26,3,87.8,65.3,22.48,,4.24,,20.41,6.31,26.73,122.60,86.05,36.55
2,Arizona,Pac-12,,2,31,3,84.6,67.5,17.03,,6.97,,18.40,5.60,24.00,120.56,87.62,32.93
3,Houston,AAC,,15,29,5,75.8,58.9,16.94,,5.36,,8.56,13.74,22.30,119.04,85.59,33.44
4,Baylor,Big 12,,4,26,6,76.5,63.6,12.88,,9.08,,11.86,10.10,21.96,118.80,87.04,31.76
5,Kentucky,SEC,,7,26,7,79.5,66.0,13.45,,8.40,,13.51,8.35,21.86,121.14,90.18,30.96
6,Kansas,Big 12,,3,28,6,78.6,68.1,10.44,,11.41,,16.05,5.80,21.85,121.64,90.48,31.16
7,Tennessee,SEC,,5,26,7,73.2,62.8,10.42,,10.42,,8.18,12.66,20.84,114.03,83.50,30.52
8,Auburn,SEC,,8,27,5,78.7,67.0,11.69,,8.71,,12.86,7.53,20.39,114.45,85.72,28.73
9,UCLA,Pac-12,,11,25,7,76.4,64.8,11.56,,8.80,,10.42,9.95,20.36,117.62,88.08,29.54
10,Texas Tech,Big 12,,12,25,9,71.7,60.3,11.38,,8.59,,6.43,13.54,19.97,112.38,83.01,29.36
11,Iowa,Big Ten,,16,26,9,83.8,71.3,12.49,,7.33,,17.42,2.39,19.82,123.08,95.10,27.98
12,Purdue,Big Ten,,10,27,7,79.8,68.8,11.03,,8.73,,13.66,6.11,19.76,123.11,94.26,28.85
13,Villanova,Big East,,6,26,7,72.6,63.1,9.55,,9.92,,6.57,12.90,19.47,119.58,90.15,29.43
14,Duke,ACC,,9,28,6,80.2,67.1,13.03,,6.12,,12.73,6.42,19.15,119.90,92.05,27.85
15,Louisiana State,SEC,,,22,11,73.1,63.5,9.58,,8.48,,6.44,11.61,18.05,109.38,83.89,25.49
16,Illinois,Big Ten,,19,22,9,75.8,67.6,8.13,,9.64,,10.06,7.71,17.77,116.57,90.51,26.06
17,Connecticut,Big East,,21,23,9,75.2,65.2,10.03,,7.20,,8.71,8.52,17.23,115.44,90.89,24.55
18,Texas,Big 12,,25,21,11,68.3,59.6,8.72,,8.51,,2.89,14.33,17.22,112.99,86.57,26.41
19,Arkansas,SEC,,17,25,8,76.9,68.5,8.39,,8.11,,11.05,5.45,16.50,112.00,88.55,23.45
20,Alabama,SEC,,,19,13,80.0,76.4,3.56,,11.94,,15.38,0.12,15.51,117.40,95.12,22.27
21,San Francisco,WCC,,,24,9,77.1,67.0,10.03,,5.47,,8.06,6.73,14.78,111.57,90.60,20.97
22,Saint Mary's (CA),WCC,,18,25,7,69.8,60.5,9.25,,6.40,,1.36,13.40,14.75,110.29,88.31,21.97
23,Oklahoma,Big 12,,,19,15,69.1,64.9,4.21,,10.26,,4.82,9.65,14.47,112.02,91.11,20.91
24,Memphis,AAC,,,21,10,75.4,68.4,7.03,,7.37,,9.35,5.05,14.40,111.26,90.83,20.43
25,Ohio State,Big Ten,,,19,11,73.8,68.5,5.33,,9.03,,8.77,5.59,14.36,118.11,96.72,21.39
26,Loyola (IL),MVC,,,25,7,73.8,61.7,12.09,,2.94,,4.61,9.56,14.17,112.70,90.96,21.74
27,Virginia Tech,ACC,,,23,12,70.7,62.3,8.46,,5.71,,3.67,10.49,14.17,114.99,93.47,21.53
28,Michigan,Big Ten,,,17,14,73.0,69.9,3.16,,10.92,,7.50,6.59,14.08,115.35,95.05,20.31
29,Indiana,Big Ten,,,21,13,71.3,65.7,5.62,,8.28,,4.85,9.05,13.90,108.95,88.50,20.45
30,Seton Hall,Big East,,,21,10,72.9,66.3,6.58,,8.62,,5.60,8.28,13.88,109.82,90.01,19.81
31,Wisconsin,Big Ten,,14,24,7,70.7,66.5,4.16,,9.69,,5.30,8.55,13.85,111.38,90.91,20.47
32,Michigan State,Big Ten,,,22,12,72.1,68.4,3.65,,10.12,,7.01,6.76,13.77,111.89,92.17,19.73
33,San Diego State,MWC,,,23,8,65.3,57.7,7.61,,6.12,,-0.53,14.26,13.74,103.92,83.37,20.56
34,Oklahoma State,Big 12,,,15,15,68.4,65.7,2.70,,10.60,,4.02,9.28,13.30,105.22,85.92,19.31
35,Wake Forest,ACC,,,23,9,79.5,70.2,9.25,,4.02,,10.54,2.73,13.27,112.26,93.65,18.61
36,Southern California,Pac-12,,22,26,7,72.6,65.9,6.67,,6.47,,5.85,7.29,13.14,111.45,92.67,18.78
37,North Carolina,ACC,,,24,9,77.5,71.7,5.79,,7.32,,11.48,1.63,13.11,113.83,94.37,19.45
38,Xavier,Big East,,,19,13,73.9,69.2,4.69,,8.29,,8.45,4.53,12.98,111.53,93.10,18.43
39,TCU,Big 12,,,20,12,68.1,65.0,3.09,,9.80,,3.20,9.69,12.89,109.86,90.82,19.05
40,Florida,SEC,,,19,13,70.8,66.1,4.69,,8.08,,5.06,7.70,12.76,111.92,93.66,18.26
41,Washington State,Pac-12,,,20,14,71.6,64.9,6.74,,6.02,,3.93,8.82,12.75,109.31,90.82,18.49
42,Boise State,MWC,,23,27,7,68.7,60.8,7.94,,5.37,,2.28,10.33,12.61,109.63,90.77,18.87
43,Marquette,Big East,,,19,12,74.4,70.9,3.52,,9.02,,9.60,2.94,12.54,110.20,92.06,18.14
44,Iowa State,Big 12,,,20,12,66.5,63.0,3.47,,8.96,,1.36,11.07,12.43,105.90,87.33,18.56
45,Mississippi State,SEC,,,18,15,70.9,66.4,4.45,,7.91,,4.83,7.54,12.36,111.62,93.19,18.43
46,Providence,Big East,,13,25,5,71.8,67.0,4.80,,7.47,,6.23,6.04,12.27,111.76,93.94,17.82
47,Colorado State,MWC,,24,25,5,73.7,65.7,8.00,,4.86,,6.74,5.50,12.24,115.70,97.33,18.38
48,Texas A&M,SEC,,,24,12,72.8,66.7,6.11,,7.27,,4.95,7.17,12.13,109.20,91.57,17.63
49,St. John's (NY),Big East,,,17,15,79.6,74.2,5.44,,6.64,,13.28,-1.21,12.07,111.43,94.54,16.89
50,Southern Methodist,AAC,,,23,8,74.4,67.2,7.19,,4.59,,6.82,4.96,11.78,110.35,93.21,17.14
51,Creighton,Big East,,,22,11,69.0,65.9,3.09,,8.33,,2.74,8.68,11.42,106.20,89.99,16.21
52,Vanderbilt,SEC,,,18,16,70.7,67.6,3.12,,8.25,,4.30,7.07,11.36,107.99,91.46,16.53
53,Notre Dame,ACC,,,22,10,72.5,66.8,5.66,,6.10,,5.32,5.78,11.10,112.90,96.01,16.89
54,UAB,CUSA,,,27,7,80.7,66.3,14.38,,-0.71,,9.19,1.92,11.10,111.81,95.96,15.85
55,Oregon,Pac-12,,,20,14,72.7,69.6,3.15,,8.38,,7.22,3.67,10.89,111.40,95.86,15.54
56,Utah State,MWC,,,18,16,73.4,66.9,6.59,,4.98,,6.10,4.76,10.86,110.87,94.74,16.13
57,Kansas State,Big 12,,,14,17,69.0,67.5,1.55,,9.21,,4.38,6.37,10.75,109.70,93.74,15.96
58,Davidson,A-10,,,27,6,75.6,65.8,9.82,,1.72,,6.14,4.39,10.53,116.43,100.25,16.19
59,Saint Louis,A-10,,,23,11,76.4,67.5,8.88,,3.54,,6.58,3.90,10.48,109.98,94.41,15.57
60,Murray State,OVC,,20,30,2,79.3,62.3,17.03,,-3.61,,3.81,6.58,10.39,110.20,94.16,16.03
61,Colorado,Pac-12,,,21,12,71.1,67.4,3.67,,6.70,,4.22,6.15,10.37,107.83,93.15,14.68
62,West Virginia,Big 12,,,16,17,68.5,69.0,-0.52,,10.80,,4.70,5.58,10.28,108.88,93.62,15.26
63,Brigham Young,WCC,,,22,10,73.7,67.9,5.81,,5.59,,5.93,4.26,10.19,109.78,94.08,15.70
64,Dayton,A-10,,,23,10,69.1,61.2,7.97,,2.19,,-0.03,10.18,10.16,110.16,93.95,16.22
65,Miami (FL),ACC,,,23,10,74.8,71.0,3.79,,6.31,,8.55,1.55,10.10,114.86,100.01,14.85
66,Virginia Commonwealth,A-10,,,22,9,66.8,61.8,5.00,,4.99,,-0.11,10.10,9.99,100.99,86.56,14.43
67,Syracuse,ACC,,,16,17,77.4,75.1,2.30,,7.59,,11.04,-1.14,9.89,115.09,100.84,14.25
68,Wyoming,MWC,,,25,9,72.5,65.5,7.03,,4.12,,4.41,5.47,9.87,110.06,94.96,15.10
69,Maryland,Big Ten,,,15,17,70.9,70.7,0.22,,9.53,,5.27,4.48,9.75,110.54,96.25,14.30
70,Northwestern,Big Ten,,,15,16,73.0,69.9,3.03,,7.57,,5.26,4.11,9.37,107.58,93.89,13.69
71,Santa Clara,WCC,,,21,12,77.3,71.9,5.36,,3.97,,10.74,-1.41,9.33,111.78,98.39,13.38
72,Clemson,ACC,,,17,16,71.7,68.5,3.27,,6.05,,4.95,4.38,9.32,111.38,97.42,13.96
73,Rutgers,Big Ten,,,18,13,67.9,65.8,2.10,,7.09,,0.90,8.29,9.19,106.94,93.19,13.75
74,Penn State,Big Ten,,,14,17,64.6,65.0,-0.39,,9.54,,-1.84,11.00,9.15,107.56,94.00,13.56
75,North Texas,CUSA,,,25,6,65.0,55.2,9.74,,1.09,,-6.71,15.84,9.13,105.50,90.14,15.36
76,Fresno State,MWC,,,19,13,64.7,58.5,6.16,,3.05,,-3.47,12.23,8.76,106.07,92.04,14.03
77,Missouri State,MVC,,,23,11,77.3,68.9,8.41,,1.40,,6.78,1.86,8.64,112.84,99.71,13.13
78,Wichita State,AAC,,,15,13,68.5,66.4,2.11,,6.22,,2.41,5.91,8.33,104.82,92.38,12.44
79,Virginia,ACC,,,19,13,62.6,60.2,2.38,,5.92,,-5.20,13.49,8.29,107.58,94.60,12.98
80,St. Bonaventure,A-10,,,21,9,70.3,66.4,3.97,,4.28,,2.89,5.36,8.25,109.27,96.59,12.68
81,Arizona State,Pac-12,,,14,17,65.4,67.2,-1.84,,10.03,,0.77,7.43,8.19,101.73,89.96,11.77
82,DePaul,Big East,,,15,16,73.3,72.2,1.10,,7.05,,6.21,1.94,8.15,108.45,97.62,10.84
83,Vermont,AEC,,,28,5,74.9,60.3,14.64,,-6.32,,2.59,5.16,7.75,110.81,98.19,12.62
84,Drake,MVC,,,24,10,73.5,66.2,7.29,,1.68,,4.11,3.60,7.71,109.40,97.39,12.01
