,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
0,1,27.20,126.59,91.0,37.56,3.99,WCC,Gonzaga,5.92,23.21,69.7,89.03,31,21.28
1,2,24.83,124.98,82.9,35.68,9.42,Big 12,Baylor,7.40,15.41,65.5,89.29,28,17.43
2,7,23.25,119.29,80.5,32.83,8.17,Big Ten,Illinois,11.34,15.08,68.6,86.45,24,11.90
3,5,22.00,118.69,75.8,32.27,12.25,Big Ten,Michigan,11.25,9.74,65.1,86.42,23,10.75
4,4,21.66,119.73,76.1,32.81,13.84,AAC,Houston,5.37,7.82,58.2,86.92,28,17.84
5,9,21.40,125.85,83.7,30.77,3.08,Big Ten,Iowa,10.43,18.32,72.7,95.09,22,10.97
6,8,20.50,116.39,74.9,29.96,11.10,Pac-12,Southern California,10.65,9.40,65.1,86.42,25,9.85
7,7,19.58,113.27,79.7,27.71,6.24,SEC,Alabama,10.01,13.35,70.1,85.56,26,9.58
8,9,18.88,117.17,73.1,27.80,11.17,Pac-12,Colorado,9.57,7.71,63.8,89.37,23,9.31
9,10,18.25,120.91,77.2,26.67,6.10,Big Ten,Ohio State,12.19,12.15,71.1,94.24,21,6.06
10,7,17.80,112.93,81.4,24.80,5.38,SEC,Arkansas,7.18,12.42,70.8,88.13,25,10.63
11,7,17.47,120.11,74.8,26.06,9.56,Big East,Villanova,9.19,7.91,66.5,94.05,18,8.28
12,13,17.22,113.23,69.9,25.63,12.83,Big Ten,Wisconsin,11.93,4.38,64.6,87.60,18,5.29
13,7,17.12,116.09,77.2,25.49,5.52,ACC,Florida State,9.16,11.60,69.2,90.59,18,7.96
14,9,16.87,110.51,71.9,24.76,12.41,SEC,Tennessee,8.46,4.46,63.5,85.75,18,8.41
15,11,16.59,112.71,72.5,24.60,11.51,Big 12,Texas Tech,7.28,5.08,63.2,88.11,18,9.31
16,10,16.30,117.22,73.4,24.07,8.24,Pac-12,UCLA,11.34,8.06,68.4,93.15,22,4.97
17,9,16.28,114.35,76.0,23.34,6.57,Big East,Creighton,8.54,9.71,68.2,91.01,22,7.74
18,7,16.15,117.21,72.3,23.64,7.54,Pac-12,Oregon,9.65,8.61,66.0,93.57,21,6.28
19,8,15.77,113.49,71.7,22.83,9.98,Big East,Connecticut,8.59,5.79,64.6,90.66,15,7.17
20,10,15.70,121.14,81.8,23.08,0.46,SEC,Louisiana State,9.14,15.24,75.2,98.05,19,6.55
21,10,15.55,114.59,71.0,23.33,9.40,Big Ten,Purdue,11.23,6.15,66.7,91.26,18,4.32
22,8,15.51,113.56,74.4,22.61,6.63,Big 12,Texas,9.36,8.88,68.2,90.94,19,6.15
23,10,15.36,116.57,77.3,22.58,3.64,Big 12,West Virginia,10.05,11.72,72.0,93.99,19,5.31
24,9,15.29,111.87,73.0,22.62,9.13,Big 12,Kansas,10.26,6.16,67.0,89.25,21,6.03
25,7,15.27,116.99,68.2,24.45,15.09,ACC,Virginia,7.59,0.18,60.5,92.54,18,7.68
26,7,15.19,113.61,78.1,22.42,7.06,WCC,Brigham Young,7.23,8.13,68.6,91.20,20,9.48
27,5,15.12,112.23,71.0,24.47,13.90,MVC,Loyola (IL),1.37,1.22,56.1,87.76,26,14.97
28,9,15.02,115.47,75.4,22.06,5.85,Pac-12,Arizona,8.18,9.17,68.6,93.41,17,6.85
29,11,14.79,110.58,75.2,21.41,5.55,ACC,North Carolina,9.52,9.25,69.9,89.17,18,5.28
30,5,14.36,111.63,73.6,21.37,10.63,MWC,San Diego State,2.99,3.74,61.2,90.26,23,12.46
31,12,14.14,109.13,69.3,20.67,9.99,Big Ten,Rutgers,12.50,4.15,67.6,88.46,16,1.64
32,14,13.94,114.32,68.9,20.98,9.99,Big Ten,Maryland,11.97,3.95,65.6,93.34,17,3.26
33,8,13.81,104.91,72.4,19.69,8.99,AAC,Memphis,4.13,4.83,62.7,85.22,20,9.68
34,10,13.70,112.07,74.2,19.99,6.84,SEC,Florida,9.82,6.86,70.3,92.08,15,3.88
35,2,13.66,115.18,85.2,18.40,0.13,Patriot (North),Colgate,-1.90,13.54,69.6,96.78,14,15.56
36,9,13.65,109.16,76.6,19.76,3.51,Big 12,Oklahoma State,9.78,10.14,72.7,89.40,21,3.87
37,14,13.53,113.01,72.6,20.26,4.54,Big Ten,Penn State,13.89,8.99,73.0,92.76,11,-0.36
